createdAt,amount,originRate
2015-03-21T22:27:12.697Z,951.00,1.00
2015-03-21T22:26:49.916Z,1.00,1.00
2015-03-21T22:26:44.769Z,1.00,1.00
2015-03-21T22:26:32.278Z,1.00,1.00
2015-03-21T22:26:18.965Z,1.00,1.00
2015-03-21T22:25:29.442Z,1.00,1.00
2015-03-21T22:25:24.064Z,1.00,1.00
2015-03-21T22:25:12.927Z,1.00,1.00
2015-03-21T22:24:55.811Z,1.00,1.00
2015-03-21T22:24:44.887Z,1.00,1.00
2015-03-21T22:24:29.442Z,1.00,1.00
2015-03-21T22:24:08.846Z,1.00,1.00
2015-03-21T22:24:00.928Z,1.00,1.00
2015-03-21T22:23:50.121Z,1.00,1.00
2015-03-21T22:23:35.999Z,1.00,1.00
2015-03-21T22:23:22.869Z,1.00,1.00
2015-03-21T22:23:13.420Z,1.00,1.00
2015-03-21T22:22:53.133Z,1.00,1.00
2015-03-21T22:21:56.256Z,1.00,1.00
2015-03-21T22:21:03.194Z,1.00,1.00
2015-03-21T22:19:33.281Z,1.00,1.00
2015-03-21T22:19:24.274Z,1.00,1.00
2015-03-21T22:19:18.792Z,1.00,1.00
2015-03-21T22:18:39.295Z,1.00,1.00
2015-03-21T22:18:08.340Z,1.00,1.00
2015-03-21T22:17:51.664Z,1.00,1.00
2015-03-21T22:17:42.715Z,1.00,1.00
2015-03-21T22:17:37.460Z,0.67,1.49530
2015-03-21T22:17:31.735Z,1.00,1.00
2015-03-21T22:17:26.842Z,1.00,1.00
2015-03-21T22:17:21.820Z,1.00,1.00
2015-03-21T22:16:49.140Z,1.00,1.00
2015-03-21T22:16:35.040Z,1.00,1.00
2015-03-21T22:16:21.390Z,1.00,1.00
2015-03-21T22:16:16.713Z,1.00,1.00
2015-03-21T22:16:04.778Z,1.00,1.00
2015-03-21T22:15:59.723Z,1.00,1.00
2015-03-21T22:15:46.090Z,1.00,1.00
2015-03-21T22:15:36.033Z,1.00,1.00
2015-03-21T22:15:31.316Z,1.00,1.00
2015-03-21T22:15:12.990Z,1.00,1.00
2015-03-21T22:15:08.575Z,1.00,1.00
2015-03-21T22:15:03.221Z,1.00,1.00
2015-03-21T22:14:41.747Z,1.00,1.00
2015-03-21T22:14:20.622Z,1.00,1.00
2015-03-21T22:14:07.912Z,1.00,1.00
2015-03-21T22:13:40.185Z,1.00,1.00
2015-03-21T22:13:25.166Z,1.00,1.00
2015-03-21T22:13:19.607Z,1.00,1.00
2015-03-21T22:12:40.775Z,1.00,1.00
2015-03-21T21:53:01.790Z,1000.00,1.00
2015-03-21T20:43:52.543Z,1.00,1.00
2015-03-21T20:43:38.324Z,1.00,1.00
2015-03-21T20:43:30.133Z,1.00,1.00
2015-03-21T20:43:13.272Z,1.00,1.00
2015-03-21T20:43:01.525Z,1.00,1.00
2015-03-21T20:42:51.699Z,1.00,1.00
2015-03-21T20:42:40.660Z,1.00,1.00
2015-03-21T20:42:29.696Z,1.00,1.00
2015-03-21T20:42:17.802Z,1.00,1.00
2015-03-21T20:42:10.735Z,1.00,1.00
2015-03-21T20:42:03.007Z,1.00,1.00
2015-03-21T20:41:51.154Z,1.00,1.00
2015-03-21T20:41:40.748Z,1.00,1.00
2015-03-21T20:41:31.978Z,1.00,1.00
2015-03-21T20:41:18.393Z,1.00,1.00
2015-03-21T20:41:08.754Z,1.00,1.00
2015-03-21T20:41:02.010Z,1.00,1.00
2015-03-21T20:40:48.303Z,1.00,1.00
2015-03-21T20:40:36.363Z,1.00,1.00
2015-03-21T20:40:21.129Z,1.00,1.00
2015-03-21T20:40:02.311Z,1.00,1.00
2015-03-21T20:39:50.171Z,1.00,1.00
2015-03-21T20:39:31.972Z,1.00,1.00
2015-03-21T20:39:16.754Z,1.00,1.00
2015-03-21T20:39:03.467Z,1.00,1.00
2015-03-21T20:38:48.507Z,1.00,1.00
2015-03-21T20:38:40.396Z,1.00,1.00
2015-03-21T20:38:25.080Z,1.00,1.00
2015-03-21T20:38:17.846Z,1.00,1.00
2015-03-21T20:38:08.805Z,1.00,1.00
2015-03-21T20:37:57.257Z,1.00,1.00
2015-03-21T20:37:43.926Z,1.00,1.00
2015-03-21T20:37:32.440Z,1.00,1.00
2015-03-21T20:37:19.932Z,1.00,1.00
2015-03-21T20:37:14.084Z,1.00,1.00
2015-03-21T20:37:03.661Z,1.00,1.00
2015-03-21T20:36:52.320Z,1.00,1.00
2015-03-21T20:36:41.426Z,1.00,1.00
2015-03-21T20:36:30.793Z,1.00,1.00
2015-03-21T20:36:12.888Z,1.00,1.00
2015-03-21T20:36:05.955Z,1.00,1.00
2015-03-21T20:35:58.423Z,1.00,1.00
2015-03-21T20:35:52.143Z,1.00,1.00
2015-03-21T20:35:39.216Z,1.00,1.00
2015-03-21T20:35:27.436Z,1.00,1.00
2015-03-21T20:35:17.553Z,1.00,1.00
2015-03-21T20:35:08.709Z,1.00,1.00
2015-03-21T20:34:58.111Z,1.00,1.00
2015-03-21T20:34:46.900Z,1.00,1.00
2015-03-21T20:34:36.834Z,1.00,1.00
2015-03-21T20:34:30.993Z,1.00,1.00
2015-03-21T20:34:18.056Z,1.00,1.00
2015-03-21T20:34:06.520Z,1.00,1.00
2015-03-21T20:33:56.292Z,1.00,1.00
2015-03-21T20:33:50.220Z,1.00,1.00
2015-03-21T20:33:39.375Z,1.00,1.00
2015-03-21T20:33:30.106Z,1.00,1.00
2015-03-21T20:33:01.114Z,1.00,1.00
2015-03-21T20:32:49.451Z,1.00,1.00
2015-03-21T20:32:38.582Z,1.00,1.00
2015-03-21T20:32:13.442Z,1.00,1.00
2015-03-21T20:31:58.500Z,1.00,1.00
2015-03-21T20:31:48.511Z,1.00,1.00
2015-03-21T20:31:38.360Z,120.07,0.00833
2015-03-21T20:31:31.141Z,1.00,1.00
2015-03-21T20:31:15.544Z,1.00,1.00
2015-03-21T20:31:03.457Z,1.00,1.00
2015-03-21T20:30:55.469Z,1.00,1.00
2015-03-21T20:30:38.752Z,1.00,1.00
2015-03-21T20:30:32.385Z,1.00,1.00
2015-03-21T20:30:20.318Z,1.00,1.00
2015-03-21T20:30:08.433Z,1.00,1.00
2015-03-21T20:29:56.354Z,1.00,1.00
2015-03-21T20:29:44.964Z,1.00,1.00
2015-03-21T20:29:32.141Z,1.00,1.00
2015-03-21T20:29:22.023Z,1.00,1.00
2015-03-21T20:29:11.025Z,1.00,1.00
2015-03-21T20:28:59.990Z,1.00,1.00
2015-03-21T20:28:53.093Z,1.00,1.00
2015-03-21T20:28:47.694Z,1.00,1.00
2015-03-21T20:28:35.910Z,1.00,1.00
2015-03-21T20:28:12.216Z,1.00,1.00
2015-03-21T20:27:51.536Z,1.00,1.00
2015-03-21T20:27:44.861Z,1.00,1.00
2015-03-21T20:27:23.272Z,1.00,1.00
2015-03-21T20:26:39.716Z,1.00,1.00
2015-03-21T20:26:33.679Z,1.00,1.00
2015-03-21T20:26:21.897Z,1.00,1.00
2015-03-21T20:26:12.358Z,1.00,1.00
2015-03-21T20:26:04.015Z,1.00,1.00
2015-03-21T20:25:57.734Z,1.00,1.00
2015-03-21T20:25:51.287Z,1.00,1.00
2015-03-21T20:25:40.084Z,1.00,1.00
2015-03-21T20:25:34.514Z,1.00,1.00
2015-03-21T20:25:29.369Z,1.00,1.00
2015-03-21T20:25:21.592Z,1.00,1.00
2015-03-21T20:25:16.699Z,1.00,1.00
2015-03-21T20:25:05.817Z,1.00,1.00
2015-03-21T20:24:59.594Z,1.00,1.00
2015-03-21T20:24:54.335Z,1.00,1.00
2015-03-21T20:24:49.358Z,1.00,1.00
2015-03-21T20:24:42.058Z,1.00,1.00
2015-03-21T20:24:34.995Z,1.00,1.00
2015-03-21T20:24:25.231Z,1.00,1.00
2015-03-21T20:24:19.159Z,1.00,1.00
2015-03-21T20:24:13.480Z,1.00,1.00
2015-03-21T20:24:00.839Z,1.00,1.00
2015-03-21T20:23:55.752Z,1.00,1.00
2015-03-21T20:23:49.527Z,1.00,1.00
2015-03-21T20:23:40.379Z,1.00,1.00
2015-03-21T20:23:24.459Z,1.00,1.00
2015-03-21T20:23:15.035Z,1.00,1.00
2015-03-21T20:23:00.929Z,1.00,1.00
2015-03-21T20:22:48.151Z,1.00,1.00
2015-03-21T20:22:37.304Z,1.00,1.00
2015-03-21T20:22:21.554Z,1.00,1.00
2015-03-21T20:22:00.713Z,1.00,1.00
2015-03-21T20:21:47.855Z,1.00,1.00
2015-03-21T20:21:31.426Z,1.00,1.00
2015-03-21T20:21:25.537Z,1.00,1.00
2015-03-21T20:21:13.525Z,1.00,1.00
2015-03-21T20:21:03.232Z,1.00,1.00
2015-03-21T20:20:56.740Z,1.00,1.00
2015-03-21T20:20:47.073Z,1.00,1.00
2015-03-21T20:20:37.443Z,1.00,1.00
2015-03-21T20:20:21.106Z,1.00,1.00
2015-03-21T20:20:14.947Z,1.00,1.00
2015-03-21T20:20:06.292Z,1.00,1.00
